Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 1.20, 1.23, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
------------------------------------------------------------------------------------------
BM_gemm_blasfeo/2/2/2/64_mean                          248 ns          248 ns            5
BM_gemm_blasfeo/2/2/2/64_median                        283 ns          283 ns            5
BM_gemm_blasfeo/2/2/2/64_stddev                        208 ns          208 ns            5
BM_gemm_blasfeo/3/3/3/64_mean                         54.0 ns         53.9 ns            5
BM_gemm_blasfeo/3/3/3/64_median                       34.2 ns         34.2 ns            5
BM_gemm_blasfeo/3/3/3/64_stddev                       27.1 ns         27.1 ns            5
BM_gemm_blasfeo/5/5/5/64_mean                         1678 ns         1677 ns            5
BM_gemm_blasfeo/5/5/5/64_median                       2024 ns         2022 ns            5
BM_gemm_blasfeo/5/5/5/64_stddev                        750 ns          750 ns            5
BM_gemm_blasfeo/10/10/10/64_mean                      2674 ns         2673 ns            5
BM_gemm_blasfeo/10/10/10/64_median                    2742 ns         2740 ns            5
BM_gemm_blasfeo/10/10/10/64_stddev                     107 ns          107 ns            5
BM_gemm_blasfeo/20/20/20/64_mean                       492 ns          492 ns            5
BM_gemm_blasfeo/20/20/20/64_median                     492 ns          492 ns            5
BM_gemm_blasfeo/20/20/20/64_stddev                    4.64 ns         4.64 ns            5
BM_gemm_blasfeo/30/30/30/64_mean                      4745 ns         4742 ns            5
BM_gemm_blasfeo/30/30/30/64_median                    1614 ns         1613 ns            5
BM_gemm_blasfeo/30/30/30/64_stddev                    4299 ns         4296 ns            5
BM_gemm_blasfeo/2/2/2/4096_mean                       32.6 ns         32.6 ns            5
BM_gemm_blasfeo/2/2/2/4096_median                     32.6 ns         32.6 ns            5
BM_gemm_blasfeo/2/2/2/4096_stddev                    0.191 ns        0.189 ns            5
BM_gemm_blasfeo/3/3/3/4096_mean                       34.3 ns         34.2 ns            5
BM_gemm_blasfeo/3/3/3/4096_median                     34.1 ns         34.1 ns            5
BM_gemm_blasfeo/3/3/3/4096_stddev                    0.439 ns        0.434 ns            5
BM_gemm_blasfeo/5/5/5/4096_mean                        109 ns          109 ns            5
BM_gemm_blasfeo/5/5/5/4096_median                      109 ns          109 ns            5
BM_gemm_blasfeo/5/5/5/4096_stddev                    0.411 ns        0.405 ns            5
BM_gemm_blasfeo/10/10/10/4096_mean                     134 ns          134 ns            5
BM_gemm_blasfeo/10/10/10/4096_median                   134 ns          134 ns            5
BM_gemm_blasfeo/10/10/10/4096_stddev                 0.585 ns        0.582 ns            5
