Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 2.68, 2.29, 1.84
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
------------------------------------------------------------------------------------------
BM_gemm_blasfeo/30/30/30/4096_mean                    1614 ns         1613 ns            5
BM_gemm_blasfeo/30/30/30/4096_median                  1603 ns         1602 ns            5
BM_gemm_blasfeo/30/30/30/4096_stddev                  26.2 ns         25.9 ns            5
BM_gemm_blasfeo/20/20/20/4096_mean                     531 ns          530 ns            5
BM_gemm_blasfeo/20/20/20/4096_median                   527 ns          526 ns            5
BM_gemm_blasfeo/20/20/20/4096_stddev                  20.5 ns         20.4 ns            5
BM_gemm_blasfeo/10/10/10/4096_mean                     150 ns          150 ns            5
BM_gemm_blasfeo/10/10/10/4096_median                   140 ns          140 ns            5
BM_gemm_blasfeo/10/10/10/4096_stddev                  19.6 ns         19.5 ns            5
BM_gemm_blasfeo/5/5/5/4096_mean                       66.3 ns         66.2 ns            5
BM_gemm_blasfeo/5/5/5/4096_median                     65.6 ns         65.6 ns            5
BM_gemm_blasfeo/5/5/5/4096_stddev                     2.49 ns         2.46 ns            5
BM_gemm_blasfeo/3/3/3/4096_mean                       38.5 ns         38.4 ns            5
BM_gemm_blasfeo/3/3/3/4096_median                     37.7 ns         37.7 ns            5
BM_gemm_blasfeo/3/3/3/4096_stddev                     2.99 ns         2.98 ns            5
BM_gemm_blasfeo/2/2/2/4096_mean                       34.5 ns         34.4 ns            5
BM_gemm_blasfeo/2/2/2/4096_median                     33.8 ns         33.8 ns            5
BM_gemm_blasfeo/2/2/2/4096_stddev                     1.23 ns         1.22 ns            5
BM_gemm_blasfeo/30/30/30/64_mean                      1902 ns         1893 ns            5
BM_gemm_blasfeo/30/30/30/64_median                    1894 ns         1890 ns            5
BM_gemm_blasfeo/30/30/30/64_stddev                     245 ns          235 ns            5
BM_gemm_blasfeo/20/20/20/64_mean                       551 ns          550 ns            5
BM_gemm_blasfeo/20/20/20/64_median                     551 ns          550 ns            5
BM_gemm_blasfeo/20/20/20/64_stddev                    26.0 ns         25.8 ns            5
BM_gemm_blasfeo/10/10/10/64_mean                      1687 ns         1685 ns            5
BM_gemm_blasfeo/10/10/10/64_median                    2628 ns         2625 ns            5
BM_gemm_blasfeo/10/10/10/64_stddev                    1400 ns         1398 ns            5
BM_gemm_blasfeo/5/5/5/64_mean                         88.5 ns         88.3 ns            5
BM_gemm_blasfeo/5/5/5/64_median                       76.9 ns         76.8 ns            5
BM_gemm_blasfeo/5/5/5/64_stddev                       34.0 ns         33.8 ns            5
BM_gemm_blasfeo/3/3/3/64_mean                         62.8 ns         62.1 ns            5
BM_gemm_blasfeo/3/3/3/64_median                       44.1 ns         43.8 ns            5
BM_gemm_blasfeo/3/3/3/64_stddev                       26.4 ns         26.3 ns            5
BM_gemm_blasfeo/2/2/2/64_mean                         60.4 ns         59.8 ns            5
BM_gemm_blasfeo/2/2/2/64_median                       41.4 ns         40.7 ns            5
BM_gemm_blasfeo/2/2/2/64_stddev                       29.2 ns         28.9 ns            5
BM_gemm_blasfeo_reuse_memory/30/30/30/64_mean         1936 ns         1933 ns            5
BM_gemm_blasfeo_reuse_memory/30/30/30/64_median       1859 ns         1856 ns            5
BM_gemm_blasfeo_reuse_memory/30/30/30/64_stddev        165 ns          163 ns            5
BM_gemm_blasfeo_reuse_memory/20/20/20/64_mean          604 ns          603 ns            5
BM_gemm_blasfeo_reuse_memory/20/20/20/64_median        594 ns          593 ns            5
BM_gemm_blasfeo_reuse_memory/20/20/20/64_stddev       63.4 ns         63.1 ns            5
BM_gemm_blasfeo_reuse_memory/10/10/10/64_mean         4654 ns         4647 ns            5
BM_gemm_blasfeo_reuse_memory/10/10/10/64_median       4663 ns         4658 ns            5
BM_gemm_blasfeo_reuse_memory/10/10/10/64_stddev        271 ns          269 ns            5
BM_gemm_blasfeo_reuse_memory/5/5/5/64_mean            2371 ns         2369 ns            5
BM_gemm_blasfeo_reuse_memory/5/5/5/64_median          2343 ns         2341 ns            5
BM_gemm_blasfeo_reuse_memory/5/5/5/64_stddev          54.7 ns         54.1 ns            5
