2019-09-19 15:44:25
Running ./bench
Run on (8 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 6144K (x1)
Load Average: 1.20, 1.23, 1.27
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations
------------------------------------------------------------------------------------------
BM_gemm_blasfeo/2/2/2/64_mean                          248 ns          248 ns            5
BM_gemm_blasfeo/2/2/2/64_median                        283 ns          283 ns            5
BM_gemm_blasfeo/2/2/2/64_stddev                        208 ns          208 ns            5
BM_gemm_blasfeo/3/3/3/64_mean                         53.0 ns         53.0 ns            5
BM_gemm_blasfeo/3/3/3/64_median                       37.3 ns         37.3 ns            5
BM_gemm_blasfeo/3/3/3/64_stddev                       24.2 ns         24.2 ns            5
BM_gemm_blasfeo/5/5/5/64_mean                         1677 ns         1676 ns            5
BM_gemm_blasfeo/5/5/5/64_median                       2021 ns         2020 ns            5
BM_gemm_blasfeo/5/5/5/64_stddev                        746 ns          745 ns            5
BM_gemm_blasfeo/10/10/10/64_mean                      2670 ns         2668 ns            5
BM_gemm_blasfeo/10/10/10/64_median                    2745 ns         2743 ns            5
BM_gemm_blasfeo/10/10/10/64_stddev                     109 ns          109 ns            5
BM_gemm_blasfeo/20/20/20/64_mean                       496 ns          496 ns            5
BM_gemm_blasfeo/20/20/20/64_median                     496 ns          496 ns            5
BM_gemm_blasfeo/20/20/20/64_stddev                    8.24 ns         8.19 ns            5
BM_gemm_blasfeo/30/30/30/64_mean                      4731 ns         4728 ns            5
BM_gemm_blasfeo/30/30/30/64_median                    1609 ns         1608 ns            5
BM_gemm_blasfeo/30/30/30/64_stddev                    4292 ns         4289 ns            5
BM_gemm_blasfeo/2/2/2/4096_mean                       32.6 ns         32.6 ns            5
BM_gemm_blasfeo/2/2/2/4096_median                     32.6 ns         32.5 ns            5
BM_gemm_blasfeo/2/2/2/4096_stddev                    0.156 ns        0.154 ns            5
BM_gemm_blasfeo/3/3/3/4096_mean                       34.0 ns         34.0 ns            5
BM_gemm_blasfeo/3/3/3/4096_median                     34.0 ns         33.9 ns            5
BM_gemm_blasfeo/3/3/3/4096_stddev                    0.175 ns        0.172 ns            5
BM_gemm_blasfeo/5/5/5/4096_mean                        107 ns          107 ns            5
BM_gemm_blasfeo/5/5/5/4096_median                      106 ns          106 ns            5
BM_gemm_blasfeo/5/5/5/4096_stddev                     1.31 ns         1.30 ns            5
BM_gemm_blasfeo/10/10/10/4096_mean                     132 ns          132 ns            5
